ts,month,day,Hour,PM_Indoor,pm10,CO2_Indoor,Indoor-Avg RH,Indoor-Avg Temp,voc,ah,Outdoor-Avg Temp,Outdoor-Avg RH,CO2_Outdoor,PM_Outdoor
4/12/17 0:29,4,12,0,6.56666667,7.67833333,577.916667,43.5751667,22.9073333,0.069183333,0.010913846,13.5,60.005,400,39
4/12/17 1:29,4,12,1,4.19666667,4.93333333,631.033333,41.601,24.5606667,0.069266667,0.011446834,14.5,61.99,400,26
4/12/17 2:29,4,12,2,3.30833333,4.25,921.883333,40.8603333,25.9391667,0.123433333,0.012149026,16.5,57.77,400,26
4/12/17 3:29,4,12,3,2.63965517,3.53275862,1233.46552,40.0644828,26.4027586,0.115396552,0.012224709,18,61.76,400,26
4/12/17 4:29,4,12,4,2.14666667,2.9,1341.45,39.0083333,26.7356667,0.068783333,0.012125033,19,61.76,400,19
4/12/17 5:29,4,12,5,2.27,2.89166667,1331,37.5381667,27.0391667,0.124966667,0.011866332,20.5,70.945,400,14
4/12/17 6:29,4,12,6,1.935,2.73666667,1582.95,37.5355,27.4728333,0.086133333,0.012153818,20,76.04,400,11
4/12/17 7:29,4,12,7,2.07166667,2.89166667,1765.26667,37.4048333,27.9126667,0.095,0.012409047,20,81.34,400,16
4/12/17 8:29,4,12,8,1.35762712,1.8440678,2039.54237,38.1708475,28.1616949,0.143949153,0.012837917,21,78.905,400,17
4/12/17 9:29,4,12,9,1.39833333,2.015,2149.3,38.1291667,28.2825,0.090516667,0.012909322,18.5,56.82,400,17
4/12/17 10:29,4,12,10,1.12666667,1.67166667,1732.93333,36.7723333,28.06,0.064516667,0.012298572,17,36.78,400,19
4/12/17 11:29,4,12,11,0.875,1.20666667,1407.06667,35.7121667,27.5695,0.063833333,0.011625356,13.5,29.155,400,18
4/12/17 12:29,4,12,12,0.776666667,1.20333333,1148.03333,35.2251667,27.0465,0.063566667,0.01113969,14,30.235,400,16
4/12/17 13:29,4,12,13,1.11666667,1.635,975.483333,35.3243333,26.4585,0.067316667,0.010811892,12.5,20.74,400,20
4/12/17 14:29,4,12,14,2.15833333,2.99,779.55,34.8256667,25.9288333,0.066816667,0.010348753,11.5,19.265,400,21
4/12/17 15:29,4,12,15,2.55,3.57,656,34.6496667,25.4355,0.063616667,0.010015721,11,19.515,400,23
4/12/17 16:29,4,12,16,3.445,5.07333333,620.383333,35.4113333,24.8353333,0.070033333,0.009895979,11,16.13,400,23
4/12/17 17:29,4,12,17,3.48,4.86833333,597.833333,36.1693333,24.3411667,0.071583333,0.009829461,10,17.08,400,29
4/12/17 18:29,4,12,18,3.20666667,4.39833333,578.816667,36.5426667,23.9421667,0.063383333,0.009708763,10,16.98,400,24
4/12/17 19:29,4,12,19,2.585,3.69333333,562.866667,36.8926667,23.6236667,0.063266667,0.009625842,8.5,23.315,400,20
4/12/17 20:29,4,12,20,2.35666667,3.245,543.05,36.86,23.3378333,0.063533333,0.009461918,8,24.685,400,20
4/12/17 21:29,4,12,21,2.475,3.595,527.066667,37.0533333,22.981,0.063416667,0.009319594,8,36.39,400,18
4/12/17 22:29,4,12,22,2.53833333,3.61166667,527.733333,37.8511667,22.8305,0.07455,0.009438593,10,41.66,400,21
4/12/17 23:29,4,13,23,2.73833333,3.64666667,549.066667,37.9071667,22.8753333,0.1045,0.009476859,14,44.47,400,24